URL,Last Modified,Website Origin,Year,Article Title
https://www.kevinrchant.com/2018/10/23/how-sql-server-dbas-can-use-power-bi-report-server/,2021-01-05,www.kevinrchant.com,2021,how sql server dbas can use power bi report server
https://www.kevinrchant.com/2018/10/09/my-first-t-sql-tuesday-contribution-death-march/,2021-01-06,www.kevinrchant.com,2021,my first t sql tuesday contribution death march
https://www.kevinrchant.com/2018/11/06/useful-sql-server-related-powershell-modules-for-the-dba/,2021-01-07,www.kevinrchant.com,2021,useful sql server related powershell modules for the dba
https://www.kevinrchant.com/2021/01/07/giving-some-2018-posts-a-makeover/,2021-01-07,www.kevinrchant.com,2021,giving some 2018 posts a makeover
https://www.kevinrchant.com/2021/01/12/t-sql-tuesday-134-taking-breaks/,2021-01-12,www.kevinrchant.com,2021,t sql tuesday 134 taking breaks
https://www.kevinrchant.com/2021/02/01/transform-your-sql-server-database-schema-for-a-dedicated-sql-pool/,2021-02-01,www.kevinrchant.com,2021,transform your sql server database schema for a dedicated sql pool
https://www.kevinrchant.com/2021/04/03/dataweekender-v3-1-call-for-speakers-ends-in-seven-days/,2021-04-03,www.kevinrchant.com,2021,dataweekender v3 1 call for speakers ends in seven days
https://www.kevinrchant.com/2021/04/08/additional-speaker-info-for-dataweekender-v3-1/,2021-04-09,www.kevinrchant.com,2021,additional speaker info for dataweekender v3 1
https://www.kevinrchant.com/2021/03/22/thoughts-about-the-increase-in-demand-for-azure-data-engineering-roles/,2021-05-17,www.kevinrchant.com,2021,thoughts about the increase in demand for azure data engineering roles
https://www.kevinrchant.com/2020/12/21/2020-edition-of-sql-server-related-services-in-azure/,2021-05-25,www.kevinrchant.com,2021,2020 edition of sql server related services in azure
https://www.kevinrchant.com/2020/12/14/deploying-to-multiple-sql-server-database-types-using-azure-devops-faster/,2021-05-25,www.kevinrchant.com,2021,deploying to multiple sql server database types using azure devops faster
https://www.kevinrchant.com/2019/12/25/sql-server-related-services-in-azure-2019/,2021-05-25,www.kevinrchant.com,2021,sql server related services in azure 2019
https://www.kevinrchant.com/2021/03/12/call-for-speakers-for-dataweekender-v3-1-is-now-open/,2021-05-25,www.kevinrchant.com,2021,call for speakers for dataweekender v3 1 is now open
https://www.kevinrchant.com/2021/03/09/t-sql-tuesday-136-bit-versus-other-data-types/,2021-05-25,www.kevinrchant.com,2021,t sql tuesday 136 bit versus other data types
https://www.kevinrchant.com/2021/02/25/date-for-dataweekender-v3-1-has-been-announced/,2021-05-25,www.kevinrchant.com,2021,date for dataweekender v3 1 has been announced
https://www.kevinrchant.com/2020/10/03/schedule-for-next-dataweekender-is-now-live/,2021-05-25,www.kevinrchant.com,2021,schedule for next dataweekender is now live
https://www.kevinrchant.com/2020/08/24/dataweekender-call-for-speakers-is-now-open/,2021-05-25,www.kevinrchant.com,2021,dataweekender call for speakers is now open
https://www.kevinrchant.com/2021/03/25/how-to-make-the-most-out-of-certification-pages-for-azure-exams/,2021-05-31,www.kevinrchant.com,2021,how to make the most out of certification pages for azure exams
https://www.kevinrchant.com/2020/03/02/certification-announcement-by-microsoft-and-the-coronavirus/,2021-05-31,www.kevinrchant.com,2021,certification announcement by microsoft and the coronavirus
https://www.kevinrchant.com/2020/06/15/passing-the-az-400-devops-exam/,2021-05-31,www.kevinrchant.com,2021,passing the az 400 devops exam
https://www.kevinrchant.com/2019/01/17/running-sql-server-within-hyper-v-on-your-own-laptop/,2021-06-16,www.kevinrchant.com,2021,running sql server within hyper v on your own laptop
https://www.kevinrchant.com/2019/05/01/sql-servers-complex-relationship-with-file-permissions/,2021-06-16,www.kevinrchant.com,2021,sql servers complex relationship with file permissions
https://www.kevinrchant.com/2019/07/09/t-sql-tuesday-116-adopting-sql-server-on-linux/,2021-06-16,www.kevinrchant.com,2021,t sql tuesday 116 adopting sql server on linux
https://www.kevinrchant.com/2019/09/03/t-sql-tuesday-118-your-fantasy-sql-feature/,2021-06-16,www.kevinrchant.com,2021,t sql tuesday 118 your fantasy sql feature
https://www.kevinrchant.com/2019/03/28/using-linux-desktop-environment-with-sql-server/,2021-06-16,www.kevinrchant.com,2021,using linux desktop environment with sql server
https://www.kevinrchant.com/2018/11/13/t-sql-tuesday-relearning-linux/,2021-06-16,www.kevinrchant.com,2021,t sql tuesday relearning linux
https://www.kevinrchant.com/2019/05/14/t-sql-tuesday-114-powershell-puzzle/,2021-06-16,www.kevinrchant.com,2021,t sql tuesday 114 powershell puzzle
